Antioxidant;Antioxidans
Evidence-based practice;
Evoked potential;Evozierte Potentiale
Executive dysfunction;
Executive functions;Exekutive Funktionen
Exfoliation (cosmetology);Peeling
Exoskeleton;Exoskelett
Extraesophageal reflux disease;
Eyepatch;Augenklappe
Facial trauma;
Facioscapulohumeral muscular dystrophy;Fazioskapulohumerale Muskeldystrophie
Familial adenomatous polyposis;Familiäre adenomatöse Polyposis
Fatty liver;Fettleber
Fecal coliform;
Fecal incontinence;Stuhlinkontinenz
Federal Compulsory Medical Insurance Fund (Russia);
Female condom;Femidom
Female sexual arousal disorder;
Femtosecond laser for cataract surgery;
Fertility awareness;
Fibroadenoma;Fibroadenom
Fibrochondrogenesis;
Flatulence;
Floater;Mouches volantes
Fluoroscopy;Durchleuchtung
Folic acid;Folsäure
Footspeed;
Foreign body;Fremdkörper
Free flap breast reconstruction;
Fructose malabsorption;Intestinale Fruktoseintoleranz
Functional magnetic resonance imaging;Funktionelle Magnetresonanztomographie
Gallop rhythm;
Gamekeeper's thumb;Seitenbandruptur des Daumens
Gamma camera;Gammakamera
Gas mask;Atemschutzmaske
Gastroesophageal reflux disease;Refluxösophagitis
Gaucher's disease;Morbus Gaucher
General surgery;
Genetics of Down syndrome;
Genomics;
Geographic tongue;
Giant-cell glioblastoma;
Giardia lamblia;Giardia intestinalis
Gingival enlargement;
Gingivitis;Gingivitis
Glial scar;
Glioblastoma multiforme;Glioblastom
Globalization and disease;
Glucagon rescue;
Glucose-6-phosphate dehydrogenase deficiency;Glucose-6-phosphat-Dehydrogenase-Mangel
Gluten sensitivity;Glutensensitivität
Glycated hemoglobin;HbA1c
Glycemic index;Glykämischer Index
Gonorrhea;Gonorrhoe
Good Samaritan law;Rechtliche Aspekte bei Hilfeleistung
Grading of the tumors of the central nervous system;
Granulomatosis with polyangiitis;Granulomatose mit Polyangiitis
Graves' disease;Morbus Basedow
Grief;Trauer
Growth hormone deficiency;
Growth hormone treatment;
Guillain–Barré syndrome;Guillain-Barré-Syndrom
Gulf War syndrome;Golfkriegssyndrom
Gustatory system;
Gut flora;Darmflora
HFE hereditary haemochromatosis;
HIV and men who have sex with men;
Hairy cell leukemia;Haarzellleukämie
Hairy leukoplakia;Haarleukoplakie
Hallucination;Halluzination
Hanaoka Seishū;Hanaoka Seishū
Hand washing;Händedesinfektion
Hangover;Kater (Alkoholintoxikation)
Head and neck anatomy;
Head and neck cancer;Kopf-Hals-Karzinom
Health Advocate;
Health advocacy;
Health aspects of Down syndrome;
Health care in Kosovo;
Health care reform debate in the United States;
Health care reform in the United States;
Health insurance;Krankenversicherung
Health issues in athletics;
Health psychology;Gesundheitspsychologie
Health science;
Hearing aid;Hörgerät
Heart sounds;Herzton
Hemolytic-uremic syndrome;Hämolytisch-urämisches Syndrom
Hepatitis B vaccine;
Herpes simplex virus;Herpes-simplex-Viren
High-density lipoprotein;High Density Lipoprotein
High fructose corn syrup and health;
Hip dysplasia (human);Hüftdysplasie
Hip replacement;Endoprothese
Histology;
History and naming of human leukocyte antigens;
History of poliomyelitis;
History of psychiatric institutions;Geschichte der Psychiatrie
History of tuberculosis;
History of virology;
Home hemodialysis;
Homeopathy;
Hookworm;
Hormone replacement therapy (female-to-male);
Hormone replacement therapy (male-to-female);
Human iron metabolism;Eisen-Stoffwechsel
Hydrosalpinx;
Hypercalcaemia;Hyperkalzämie
Hypercoagulability in pregnancy;
Hyperemesis gravidarum;Hyperemesis gravidarum
Hyperkalemia;Hyperkaliämie
Hyperkinesia;Hyperkinese
Hyperthermia;Hyperthermie
Hyperthyroidism;Hyperthyreose
Hypertrichosis;Hypertrichose
Hypomagnesemia;Magnesiummangel
Hypothermia;Hypothermie
IUD with copper;Intrauterinpessar
IUD with progestogen;Hormonspirale
Iatrogenesis;Iatrogen
Idiopathic thrombocytopenic purpura;Idiopathische thrombozytopenische Purpura
Ignaz Semmelweis;Ignaz Semmelweis
Impacted wisdom teeth;
Impulse control disorder;Störung der Impulskontrolle
In vitro fertilisation;In-vitro-Fertilisation
Inborn error of metabolism;
Inclusion body myositis;Sporadische Einschlusskörpermyositis
Induced pluripotent stem cell;Induzierte pluripotente Stammzelle
Infant;
Influenza A virus;Influenzavirus#Influenza-A-Subtypen
Ingrown nail;Unguis incarnatus
Inner ear;Innenohr
Inoculation;Inokulation
Instruments used in general medicine;
Insular cortex;Inselrinde
Insulin pump;Insulinpumpe
Interferon;Interferone
Internal carotid artery;Arteria carotis interna
International Red Cross and Red Crescent Movement;
International Statistical Classification of Diseases and Related Health Problems;Internationale statistische Klassifikation der Krankheiten und verwandter Gesundheitsprobleme
Intersex;Intersexualität
Interstitial cystitis;Interstitielle Zystitis
Intracranial aneurysm;
Intracranial pressure;Hirndruck
Intratubular germ cell neoplasia;Testikuläre intraepitheliale Neoplasie
Intravenous therapy;Infusion
Introduction to genetics;
Involuntary commitment;Sicherungsverwahrung
Iron deficiency;Eisenmangel
Ischemic colitis;Ischämische Colitis
Islet cell transplantation;Inselzelltransplantation
Jaffe reaction;
Japanese encephalitis;Japanische Enzephalitis
Johns Hopkins Bloomberg School of Public Health;
Johns Hopkins School of Nursing;
Joint dysfunction;
Juvenile myoclonic epilepsy;
Kawasaki disease;Kawasaki-Syndrom
Kegel exercise;Beckenbodentraining
Keratoconjunctivitis sicca;Keratoconjunctivitis sicca
Klinefelter syndrome;Klinefelter-Syndrom
Labiaplasty;Labioplastik
Laminopathy;
Laryngeal cancer;Kehlkopfkrebs
Lassa fever;Lassafieber
Legg–Calvé–Perthes syndrome;Morbus Perthes
Leopold's maneuvers;Leopold-Handgriffe
Leptospirosis;Leptospirose
Lesch–Nyhan syndrome;Lesch-Nyhan-Syndrom
Leukoedema;
Leukoplakia;Leukoplakie
Lichen planus;Lichen ruber planus
Life expectancy;Lebenserwartung
Life extension;Anti-Aging
Limb lengthening methods;
Limp;Hinken
Lipid hypothesis;
Lipoma;Lipom
Lipoprotein(a);Lipoprotein a
Liver transplantation;Lebertransplantation
Local anesthetic;Lokalanästhetikum
Long QT syndrome;QT-Syndrom
Low-carbohydrate diet;Low-Carb
Lung transplantation;Lungentransplantation
Lyme disease microbiology;Wanderröte
Lymphedema;Lymphödem
Lymphogranuloma venereum;Lymphogranuloma venereum
MMR vaccine controversy;
Macropsia;
Magnetoencephalography;Magnetoenzephalographie
Malignant hyperthermia;Maligne Hyperthermie
Managed care;Managed care
Management of Crohn's disease;Morbus Crohn
Management of Parkinson's disease;
Management of atrial fibrillation;
Management of borderline personality disorder;
Management of cancer;
Management of chronic headaches;
Management of heart failure;
Management of prostate cancer;
Management of ulcerative colitis;Colitis ulcerosa
Mandibular fracture;Unterkieferfraktur
Mania;Manie
Mantoux test;Tuberkulin-Test
Marburg virus disease;Marburgfieber
Marfan syndrome;Marfan-Syndrom
Meckel's diverticulum;Meckel-Divertikel
Medicaid;Medicaid
Medical analysis of circumcision;
Medical genetics;Medizinische Genetik
Medical imaging;Bildgebendes Verfahren (Medizin)
Medical laboratory;
Medical malpractice;Behandlungsfehler
Medical radiography;
Medical record;Krankengeschichte
Medical school;Medizinische Fakultät
Medical sign;
Medical tourism;Medizintourismus
Medicinal plants;Heilpflanze
Medullary thyroid cancer;
Megacolon;Megakolon
Megalencephaly;
Melanocytic nevus;Pigmentnävus
Melioidosis;Melioidose
Men who have sex with men;Männer, die Sex mit Männern haben
Menarche;Menarche
Meningioma;Meningeom
Menstrual extraction;
Meralgia paraesthetica;Meralgia paraesthetica
Metastability in the brain;
Methicillin-resistant Staphylococcus aureus;Staphylococcus aureus
Micropsia;
Microscopy;Mikroskopie
Minamata disease;Minamata-Krankheit
Mitochondrial disease;Mitochondriopathie
Mitral regurgitation;Mitralklappeninsuffizienz
Mitral valve stenosis;Mitralstenose
Mobile phone radiation and health;Elektrosmog
Modes of mechanical ventilation;Jet-Ventilation
Molluscum contagiosum;Molluscum contagiosum
Monoclonal antibody therapy;
Morsicatio buccarum;
Mosquito;
Motion sickness;Reisekrankheit
Mouth ulcer;
Mucopolysaccharidosis;Mukopolysaccharidose
Mule spinners' cancer;
Multiple birth;Mehrlinge
Multiple system atrophy;Multisystematrophie
Multisensory integration;
Muscle weakness;
Muscular dystrophy;Muskeldystrophie
Myasthenia gravis;Myasthenia gravis
Myelodysplastic syndrome;Myelodysplastisches Syndrom
Myoclonus;Myoklonie
Myopia;Kurzsichtigkeit
Médecins Sans Frontières;
Natural killer cell;NK-Zelle
Nazi human experimentation;Menschenversuche in nationalsozialistischen Konzentrationslagern
Negative pressure ventilator;Eiserne Lunge
Neisseria meningitidis;Meningokokken
Neonatal meningitis;
Nephrology;Nephrologie
Neurodevelopmental disorder;
Neuroethics;Neuroethik
Neurofibromatosis;Neurofibromatose
Neurofibromatosis type II;Neurofibromatose Typ 2
Neuroimaging;
Neuronal migration disorder;
Neuropathic pain;Neuropathischer Schmerz
Neuropsychiatry;Neuropsychiatrie
Neuroregeneration;
Neuroscience in space;
Newborn screening;Neugeborenenscreening
Niacin;Nicotinsäure
Nitrous oxide 50%-oxygen 50%;
Nobel Prize in Physiology or Medicine;
Nociception;
Noonan syndrome;Noonan-Syndrom
Nursing ethics;
Nursing shortage;
Nutcracker esophagus;Nussknacker-Oesophagus
Obstructive sleep apnea;
Occupational therapy;Ergotherapie
Ocular prosthesis;Augenprothese
Oncogenomics;
Onychomycosis;Nagelpilz
Optical coherence tomography;Optische Kohärenztomografie
Ornithine transcarbamylase deficiency;
Orthopedic cast;Gipsverband
Orthostatic hypotension;Orthostatische Hypotonie
Osteogenesis imperfecta;Osteogenesis imperfecta
Osteonecrosis of the jaw;
Osteosarcoma;Osteosarkom
Osteotomy;Osteotomie
Pacemaker syndrome;
Palatine tonsil;Tonsilla palatina
Panayiotopoulos syndrome;
Panic disorder;Panikstörung
Papillorenal syndrome;
Paraganglioma;Paragangliom
Paramedic;Paramedic
Paraphrenia;
Paruresis;Paruresis
Passive immunity;Nestschutz
Pathology as a medical specialty;
Pathophysiology of multiple sclerosis;
Pectus excavatum;Trichterbrust
Pediatric plastic surgery;
Pedophilia;
Pellagra;Pellagra
Pellucid marginal degeneration;
Pelvic girdle pain;
Pelvic inflammatory disease;
Pericoronitis;
Periodontitis;Parodontitis
Peripartum cardiomyopathy;
Pernicious anemia;Perniziöse Anämie
Personalized medicine;Personalisierte Medizin
Philosophy of healthcare;
Physical therapy;Physiotherapie
Pica (disorder);Pica-Syndrom
Piriformis syndrome;Piriformis-Syndrom
Placebo-controlled study;
Plague (disease);
Plantar wart;Warze
Plasma renin activity;
Plasmodium vivax;Plasmodium vivax
Pneumocystis pneumonia;
Poliomyelitis eradication;
Poor ovarian reserve;
Positron emission tomography;Positronen-Emissions-Tomographie
Post-concussion syndrome;
Post-polio syndrome;Post-Polio-Syndrom
Post-traumatic seizure;
Posterior urethral valve;Urethralklappe
Postherpetic neuralgia;Post-Zoster-Neuralgie
Postperfusion syndrome;
Prader–Willi syndrome;Prader-Willi-Syndrom
Prediabetes;
Pressure ulcer;Dekubitus
Prevention of dementia;
Probiotic;Probiotikum
Proctalgia fugax;Proctalgia fugax
Progeria;Progerie
Progeroid syndromes;
Progestin-induced virilisation;
Projectional radiography;
Prolactinoma;Prolaktinom
Prolonged grief disorder;
Pseudobulbar affect;
Psychiatric and mental health nursing;
Psychiatric hospital;Psychiatrische Klinik
Psychogenic amnesia;
Psychological trauma;Trauma (Psychologie)
Psychologist;Psychologe
Psychoneuroimmunology;Psychoneuroimmunologie
Psychotherapy;Psychotherapie
Puberty;
Publicly funded health care;
Pulmonary artery catheter;Swan-Ganz-Katheter
Pulmonary hypertension;Pulmonale Hypertonie
Pulmonary laceration;
Pyelonephritis;Pyelonephritis
Pyloric stenosis;Pylorusstenose
Q fever;Q-Fieber
Radiologic technologist;
Radiosurgery;Radiochirurgie
Rash;Effloreszenz
Raynaud's phenomenon;Raynaud-Syndrom
Reactive arthritis;Reaktive Arthritis
Recovery approach;Recovery-Modell
Rectal prolapse;Analprolaps
Red-eye effect;Rote-Augen-Effekt
Referred itch;
Referred pain;
Rejuvenation (aging);Verjüngung (Altern)
Relapse;Rezidiv
Renal cell carcinoma;Nierenkrebs
Renin;Renin
Residency (medicine);Ärztliche Weiterbildung
Retinal detachment;Netzhautablösung
Retinitis pigmentosa;Retinopathia pigmentosa
Rett syndrome;Rett-Syndrom
Reye syndrome;Reye-Syndrom
Rheumatology;Rheumatologie
Rhinoplasty;Rhinoplastik
Rhythmic movement disorder;
Risk factors for breast cancer;
Rod of Asclepius;Äskulapstab
Rolandic epilepsy;Rolando-Epilepsie
Rorschach test;Rorschachtest
Rorschach test/top business;
Rosacea;Rosazea
Ross River fever;
Rotator cuff tear;Rotatorenmanschettenruptur
Rubella;Röteln
S100A10;
Salpingitis;Adnexitis
Saturated fat;
Scabies;Krätze
Schizoid personality disorder;Schizoide Persönlichkeitsstörung
Schizophrenia and smoking;
Scleroderma;Sklerodermie
Sclerotherapy;Sklerotherapie
Second-impact syndrome;
Seizure types;
Self-esteem;Selbstwert
Seminoma;Seminom
Sensation (fiction);Sensation
Sense;Sinn (Wahrnehmung)
Sexual dysfunction;Sexuelle Dysfunktion
Sexual intercourse;
Shaken baby syndrome;Schütteltrauma
Shoulder problem;
Signs and symptoms of Parkinson's disease;
Single-payer health care;
Skin flora;Hautflora
Sleep;
Sleep medicine;Schlafmedizin
Small intestinal bacterial overgrowth;Dünndarmfehlbesiedlung
Smallpox vaccine;
Snake venom;Schlangengift
Snapping hip syndrome;Coxa saltans
Sniffing (behavior);
Social determinants of health in poverty;
Soft-tissue sarcoma;Weichteilsarkom
Soil-transmitted helminthiasis;
Spanish National Health System;
Speech-language pathology;Logopädie
Spherocytosis;Kugelzellenanämie
Spider bite;
Spinal adjustment;
Spinal dysfunction;
Spinal manipulation;Chirotherapie
Spiral computed tomography;Computertomographie#Spiral- oder Helix-CT
Staphylococcus aureus;Staphylococcus aureus
Status epilepticus;Status epilepticus
Streptococcus;Streptokokken
Stroke recovery;
Stuttering;Stottern
Subdural hematoma;
Substance abuse;
Suicide intervention;
Superior mesenteric artery syndrome;
Swimmer's itch;Zerkariendermatitis
Swine influenza;
Syndrome of inappropriate antidiuretic hormone secretion;Schwartz-Bartter-Syndrom
Synesthesia;Synästhesie
Synkinesis;
Systemic scleroderma;
TNM staging system;TNM-Klassifikation
T cell;T-Lymphozyt
Telephone triage;
Testicular cancer;Hodenkrebs
The Natural History of Alcoholism Revisited;
Thoracentesis;Pleurapunktion
Thrombocytopenia;Thrombozytopenie
Thrombotic thrombocytopenic purpura;Thrombotisch-thrombozytopenische Purpura
Thymoma;Thymom
Thymus;Thymus
Thyroid cancer;Schilddrüsenkrebs
Tick;
Tissue engineering;Tissue Engineering
Toddler's fracture;
Tonsillectomy;Tonsillektomie
Trachoma;Trachom
Traditional Chinese medicine;Traditionelle chinesische Medizin
Transgenerational trauma;
Trauma model of mental disorders;
Traveler's diarrhea;Reisediarrhoe
Treatment of Tourette syndrome;
Treatment of human head lice;Kopflaus
Tremor;Tremor
Tricyclic antidepressant;Trizyklisches Antidepressivum
Trypanosoma cruzi;Trypanosoma cruzi
Tuberculosis diagnosis;
Tuberous sclerosis;Tuberöse Sklerose
Turner syndrome;Turner-Syndrom
Tuskegee syphilis experiment;Tuskegee-Syphilis-Studie
Ultraviolet index;UV-Index
Universal health care;
University of Pittsburgh Graduate School of Public Health;
Urination;Miktion
Urticaria;Nesselsucht
Uterine fibroid;Uterusmyom
Vaccine controversies;
Vaginismus;Vaginismus
Vaginitis;Kolpitis
Varicella vaccine;
Varicocele;Varikozele
Vasa praevia;
Vascular remodelling in the embryo;
Vasopressin;Antidiuretisches Hormon
Vegetarianism;Vegetarismus
Vertebral artery;Arteria vertebralis
Vertigo;Vertigo
Vesicoureteral reflux;Vesikorenaler Reflux
Veterinary surgery;
Virchow's triad;Virchow-Trias
Visual acuity;Sehschärfe
Visual extinction;
Vitamin B12 deficiency;
Vitamin D;Vitamin D (Begriffsklärung)
Vitiligo;Vitiligo
Von Willebrand disease;Willebrand-Jürgens-Syndrom
Vulvar cancer;Vulvakrebs
WHO classification of the tumors of the central nervous system;WHO-Klassifikation der Tumoren des zentralen Nervensystems
Waist–hip ratio;Taille-Hüft-Verhältnis
Weakness;Müdigkeit
West Nile virus;West-Nil-Virus
Wheat allergies;
Wheat allergy;
Whiplash (medicine);Schleudertrauma
Wilderness-acquired diarrhea;
Wolff–Parkinson–White syndrome;Wolff-Parkinson-White-Syndrom
Wound healing;Wundheilung
Wound licking;
X-linked ichthyosis;
X-ray computed tomography;
XYY syndrome;XYY-Syndrom
X chromosome;X-Chromosom
Xerostomia;Mundtrockenheit
Yellow fever;Gelbfieber
Zoonosis;Zoonose
Zygomycosis;
1q21.1 deletion syndrome;1q21.1-Deletionssyndrom
2009 flu pandemic in Asia;
2009 flu pandemic in Brazil;
2009 flu pandemic in Canada;
2009 flu pandemic in Spain;
2009 flu pandemic tables;
ABVD;ABVD-Schema
ACTH stimulation test;
AV nodal reentrant tachycardia;AV-Knoten-Reentrytachykardie
A Clinical Lesson at the Salpêtrière;
Abdominal distension;
Abdominal hair;Bauchbehaarung
Abdominal obesity;Stammfettsucht
Abdominal ultrasonography;
Abdominal wall defect;
Ablation of atrial fibrillation;Pulmonalvenenisolation
Acanthosis nigricans;
Accommodation (eye);Akkommodation (Auge)
Accommodation reflex;
Achalasia;Achalasie
Acquired brain injury;
Acrocyanosis;Akrozyanose
Acrogeria;
Acromegaly;Akromegalie
Actinic elastosis;
Acute alcohol intoxication;
Acute bronchitis;Akute Bronchitis
Acute exacerbation of chronic obstructive pulmonary disease;
Acute exacerbations of chronic bronchitis;
Acute intermittent porphyria;Akute intermittierende Porphyrie
Acute megakaryoblastic leukemia;
Acute necrotizing ulcerative gingivitis;Angina Plaut-Vincent
Acute promyelocytic leukemia;Promyelozytenleukämie
Acute respiratory distress syndrome;Acute Respiratory Distress Syndrome
Acyl CoA dehydrogenase;
Adaptation to extrauterine life;
Addison's disease;Nebennierenrindeninsuffizienz
Adenocarcinoma;Adenokarzinom
Adenosquamous lung carcinoma;
Adhesive capsulitis of shoulder;Frozen Shoulder
Adrenergic storm;
Adrenocortical carcinoma;Nebennierenrindenkarzinom
Advance health care directive;Patientenverfügung
Afterimage;Nachbild
Aggressive NK-cell leukemia;
Aging movement control;
Alcohol abuse;
Alcohol detoxification;
Alcohol intoxication;Alkoholvergiftung
Alcoholic liver disease;
Allergic bronchopulmonary aspergillosis;Allergische bronchopulmonale Aspergillose
Allergic conjunctivitis;Konjunktivitis#Conjunktivitis allergica
Allergic contact dermatitis;
Allergy to cats;Katzenhaarallergie
Allorecognition;
Alpha-gal allergy;
Alpha 1-antitrypsin deficiency;Alpha-1-Antitrypsin-Mangel
Altered level of consciousness;
Alternative cancer treatments;
Ambulatory blood pressure;
Amenorrhoea;Amenorrhoe
Amniotic band constriction;Amniotisches-Band-Syndrom
Amyloidosis;Amyloidose
Anaerobic infection;
Anaesthesia for ocular surgery;
Anal cancer;Analkarzinom
Androgenic alopecia;
Anemia of chronic disease;
Anencephaly;Anenzephalie
Aneurysm of heart;
Aneurysm of sinus of Valsalva;
Angioimmunoblastic T-cell lymphoma;
Angiomyolipoma;Angiomyolipom
Angiostrongyliasis;
Ankyloglossia;Ankyloglosson
Ankylosing spondylitis;Spondylitis ankylosans
Anomalous pulmonary venous connection;
Anorectal varices;
Anosmia;Anosmie
Anosognosia;Anosognosie
Anthrax Vaccine Adsorbed;
Anthrax vaccines;
Anthropometry;Anthropometrie
Anti-cardiolipin antibodies;
Antidepressants and suicide risk;
Antiphospholipid syndrome;Antiphospholipid-Syndrom
Antisocial personality disorder;Dissoziale Persönlichkeitsstörung
Antivenom;Antivenin
Aortic aneurysm;Aortenaneurysma
Aortic valve stenosis;Angeborene Aortenstenose
Aplastic anemia;Aplastische Anämie
Aretaeus of Cappadocia;Aretaios
Arnold–Chiari malformation;Chiari-Malformation
Arousal;Erregung (Medizin)
Arrhythmogenic right ventricular dysplasia;
Arteriovenous malformation;Arteriovenöse Malformation
Arteriovenous oxygen difference;
Articular cartilage damage;
Articular cartilage repair;Arthrose#Behandlung
Artificial insemination;Insemination
Artificial organ;
Asbestos-related diseases;
Ascending limb of loop of Henle;
Ascertainment bias;
Asherman's syndrome;Asherman-Syndrom
Assessment of suicide risk;
Assisted suicide;Tötung auf Verlangen
Ataxia;Ataxie
Athletic trainer;Athletic Trainer
Atrioventricular septal defect;Atrio-ventrikulärer Septumdefekt
Attention;Aufmerksamkeit
Atypical ductal hyperplasia;
Atypical pneumonia;
Autism spectrum;
Autistic enterocolitis;
Autoimmune hemolytic anemia;Autoimmunhämolytische Anämie
Autoimmune hepatitis;Autoimmunhepatitis
Automobile safety;
Autonomic nervous system;Vegetatives Nervensystem
Avoidant personality disorder;Selbstunsicher-vermeidende Persönlichkeitsstörung
Avulsion injury;Avulsio
Azotemia;Azotämie
BRCA1;BRCA1
Babesiosis;Babesiose
Baby colic;Exzessives Schreien im Säuglingsalter
Baker's cyst;Baker-Zyste
Baldness;Glatze
Banana equivalent dose;
Barefoot doctor;Barfußarzt
Barefoot running;
Basal body temperature;Basaltemperatur
Basal ganglia disease;
Basophil granulocyte;Basophiler Granulozyt
Beating heart cadaver;
Beriberi;Beriberi
Bicornuate uterus;
Biochemistry of Alzheimer's disease;
Bioinformatics;Bioinformatik
Biomarker (medicine);
Biomesh;
Biomonitoring;Biomonitoring
Bipolar I disorder;
Birdshot chorioretinopathy;
Birth control in Africa;
Bjork–Shiley valve;
Blackout (alcohol-related amnesia);
Bladder stone;
Blast injury;
Blepharoplasty;
Blood alcohol content;Blutalkoholkonzentration
Blood cell;Blutkörperchen
Blood flow;
Blood substitute;Blutersatz
Blood sugar;Blutzucker
Blue field entoptic phenomenon;
Body cavity;Körperhöhle
Body contouring;
Body dysmorphic disorder;Dysmorphophobie
Body fat percentage;Körperfettanteil
Bone grafting;
Bone healing;Knochenheilung
Bone marrow failure;
Bone tumor;Knochentumor
Bornholm disease;Epidemische Pleurodynie
Boston keratoprosthesis;
Bovine spongiform encephalopathy;Bovine spongiforme Enzephalopathie
Boxer's fracture;
Brain metastasis;
Breast cancer classification;
Breathing;
Breech birth;Beckenendlage
Bromism;
Bronchiolitis;Akute Bronchiolitis
Brown-Séquard syndrome;Brown-Séquard-Syndrom
Brugada syndrome;Brugada-Syndrom
Bubble CPAP;
Bubonic plague;
Budd–Chiari syndrome;Budd-Chiari-Syndrom
Bullous impetigo;
Bullous pemphigoid;Bullöses Pemphigoid
Bullying in medicine;
Bundled payment;
Buphthalmos;
Burkitt's lymphoma;Burkitt-Lymphom
Bursitis;Bursitis
CADASIL syndrome;CADASIL
CHILD syndrome;
CT pulmonary angiogram;
Caduceus as a symbol of medicine;
Caesarean delivery on maternal request;Wunschkaiserschnitt
Caitlin Raymond International Registry;
Camurati–Engelmann disease;Engelmann-Syndrom
Canavan disease;Morbus Canavan
Cancer-related fatigue;
Cancer and nausea;
Cancer epigenetics;
Cancer immunology;
Cancer staging;Stadienbestimmung (Onkologie)
Cancer survivor;
Cancer syndrome;
Cancer vaccine;
Candida dubliniensis;
Candidal vulvovaginitis;Vaginale Pilzinfektion
Cansema;
Canthaxanthin;Canthaxanthin
Carbapenem resistant enterobacteriaceae;
Carcinogen;Karzinogen
Carcinoid;Karzinoid
Cardiac MRI perfusion;
Cardiac fibrosis;
Cardiac stress test;Ergometrie
Cardiac tamponade;Herzbeuteltamponade
Cardiology;Kardiologie
Carl von Rokitansky;Carl von Rokitansky
Carotid artery dissection;
Carotid artery stenosis;Karotisstenose
Carotid stenting;
Carpometacarpal osteoarthritis;
Case-control study;Fall-Kontroll-Studie
Castleman's disease;Morbus Castleman
Cat scratch disease;Katzenkratzkrankheit
Catamenial epilepsy;
Cataplexy;Kataplexie
Catastrophic injury;
Catatonia;Katatonie
Causes of autism;
Causes of transsexualism;
Cell therapy;
Central centrifugal cicatricial alopecia;
Central facial palsy;
Central nervous system;
Central sleep apnea;
Cephalic presentation;Schädellage
Cerebral arteriovenous malformation;Zerebrale arteriovenöse Malformation
Cerebral atherosclerosis;
Cerebral edema;Hirnödem
Cerebral hemorrhage;Intrazerebrale Blutung
Cerebral hypoxia;
Cerebral infarction;Ischämischer Schlaganfall
Cerebral salt-wasting syndrome;Zentrales Salzverlustsyndrom
Cerebral shunt;Cerebralshunt
Cerebral vasculitis;Zerebrale Vaskulitis
Cervarix;
Cervical cap;Portiokappe
Cervical pregnancy;
Chalazion;Chalazion
Chargemaster;
Cheek reconstruction;
Cheilitis;Cheilitis
Chemical imbalance;
Chemical peel;
Chemotherapy-induced nausea and vomiting;
Chest tube;Thoraxdrainage
Cheyne–Stokes respiration;Cheyne-Stokes-Atmung
Chiasmal syndrome;
Child abuse;Kindesmisshandlung
Child bone fracture;
Child development;Frühreife
Children's Depression Inventory;
Chiropractic controversy and criticism;
Chiropractic education;
Cholesteatoma;Cholesteatom
Chondrocalcinosis;Pseudogicht
Chondrosarcoma;Chondrosarkom
Christiaan Barnard;Christiaan Barnard
Chromoblastomycosis;
Chronic (medicine);Krankheitsverlauf
Chronic Somogyi rebound;Somogyi-Effekt
Chronic endothelial injury hypothesis;
Chronic prostatitis/chronic pelvic pain syndrome;
Chronic traumatic encephalopathy;
Cicatricial alopecia;
Cicatricial pemphigoid;
Ciliopathy;Ziliopathie
Circadian rhythm;Circadiane Rhythmik
Classification of obesity;Bauchumfang
Clear-cell sarcoma;
Cleft hand;
Clinical audit;
Clinical governance;
Clinical neurochemistry;
Clinical officer;
Clinical significance;
Clitoromegaly;Klitorishypertrophie
Cluster headache;Cluster-Kopfschmerz
Coagulation testing;
Coccidioidomycosis;Kokzidioidomykose
Cognitive emotional behavioral therapy;
Cognitive neuroscience of dreams;
Cold urticaria;
Colon cancer staging;
Color blindness;
Combined drug intoxication;
Comedo extraction;
Common variable immunodeficiency;Variables Immundefektsyndrom
Communication disorder;
Community mental health service;
Compartment syndrome;Kompartmentsyndrom
Complications of diabetes mellitus;
Complications of traumatic brain injury;
Computer-assisted surgery;Computerassistierte Chirurgie
Conception device;
Conduct disorder;Störung des Sozialverhaltens
Conduction aphasia;
Congenital cytomegalovirus infection;
Congenital hypothyroidism;Angeborene Hypothyreose
Congenital melanocytic nevus;
Conjoined twins;Siamesische Zwillinge
Conn's syndrome;Primärer Hyperaldosteronismus
Connective tissue disease;Kollagenose
Continuous mandatory ventilation;
Contraceptive sponge;
Contraction stress test;Wehenbelastungstest
Contrast-enhanced ultrasound;Kontrastmittelverstärkter Ultraschall
Contrast medium;Kontrastmittel
Controlled ovarian hyperstimulation;
Corneal endothelium;
Corneal keratocyte;
Corneal transplantation;Keratoplastik
Coronary artery dissection;
Coronary care unit;
Coronary flow reserve;
Corrective lens;Sehhilfe
Couvelaire uterus;
Cowden syndrome;Cowden-Syndrom
Cowpox;Kuhpocken
Coxsackie B virus;Coxsackie-Virus
Craniosynostosis;Kraniosynostose
Crimean–Congo hemorrhagic fever;Krim-Kongo-Fieber
Cryptococcosis;Kryptokokkose
Cryptococcus neoformans;Cryptococcus neoformans
Cure;Remission (Medizin)
Cushing's disease;Morbus Cushing
Cyanide poisoning;Cyanidvergiftung
Cyclic vomiting syndrome;Syndrom des zyklischen Erbrechens
Cysticercosis;Zystizerkose
Cysts of the jaws;
Cytokine storm;
DSM-5;DSM-5
Dance and health;
Dance therapy;Tanztherapie
Datura;Stechäpfel
De Quervain syndrome;Sehnenscheidenentzündung
Deafblindness;Taubblindheit
Death anxiety (psychology);
Death certificate;Totenschein
Declaration of Helsinki;Deklaration von Helsinki
Deep water blackout;
Delayed onset muscle soreness;Muskelkater
Demyelinating disease;Demyelinisierende Erkrankung
