Antioxidant;Antioxidans
Overuse syndrome;Übernutzung Syndrom
Ovulation induction;Ovulationsinduktion
Ovum;Ei
Oxygen mask;Sauerstoffmaske
PET-CT;PET-CT
PET-MRI;PET-MRT
Pacemaker failure;Herzschrittmacher Versagen
Packed red blood cells;Erythrozyten-Konzentrat
Paederus dermatitis;Paederus dermatitis
Paediatric radiology;Pädiatrische Radiologie
Pain and pleasure;Schmerz und Lust
Pain disorder;Schmerzstörung
Pain management;Schmerztherapie
Pain tolerance;Schmerz-Toleranz
Palatal lift prosthesis;Palatinalen heben Prothese
Palatal obturator;Palatinalen Verschluss
Palinopsia;Palinopsie
Palliative sedation;Terminale Sedierung
Palmomental reflex;Palmomentaler Reflex
Palpation;Palpation
Palpitation;Palpitation
Pancoast tumor;Pancoast-Tumor
Pancreas divisum;Pancreas divisum
Pancreas transplantation;Pankreastransplantation
Pancreatectomy;Pankreatektomie
Pancreatic mass;Pankreas-Masse
Pancreatic pseudocyst;Pankreaszyste
Pancreaticoduodenectomy;Duodenopankreatektomie
Pancytopenia;Panzytopenie
Papillary thyroid cancer;Papillären Schilddrüsen-Krebs
Papilloma;Papillom
Papillon–Lefèvre syndrome;Papillon-Lefèvre-Syndrom
Pappataci fever;Phlebotomusfieber
Papular mucinosis;Papeln mucinosis
Paracelsus;Paracelsus
Paracentesis;Punktion
Paracoccidioidomycosis;Paracoccidioidomycosis
Paradoxical reaction;Paradoxe Reaktion
Paragonimiasis;Paragonimiasis
Paralysis;Lähmung
Paralytic shellfish poisoning;Gelähmten shellfish poisoning
Paraneoplastic cerebellar degeneration;Paraneoplastische cerebelläre degeneration
Paraneoplastic disease;Paraneoplastische Erkrankung
Paranoid social cognition;Paranoide soziale Kognition
Paraovarian cyst;Paraovarian Zyste
Paraphimosis;Paraphimose
Paraplegia;Querschnittlähmung
Paraproteinemia;Paraproteinämie
Parasitic disease;Parasitären Krankheiten
Parasitic twin;Parasitärer Zwilling
Parasomnia;Parasomnie
Parasuicide;Parasuizid
Parathyroidectomy;Parathyroidectomy
Paraventricular nucleus;Paraventrikulären Nukleus
Paresis;Parese
Paresthesia;Parästhesie
Parkes Weber syndrome;Parkes-Weber-Syndrom
Parkinson plus syndrome;Die Parkinson-plus-Syndrom
Parkinsonism;Parkinson
Parotitis;Parotitis
Paroxysmal attack;Paroxysmale Angriff
Paroxysmal nocturnal dyspnoea;Paroxysmale nächtliche Dyspnoe
Partial anterior circulation infarct;Teilweise vorderen Zirkulation Infarkt
Partial hospitalization;Teilweise Krankenhausaufenthalt
Partial ileal bypass surgery;Teilweise Ileum-bypass-Operation
Participatory medicine;Partizipative Medizin
Particle therapy;Partikeltherapie
Patellar tendinitis;Larsen-Johansson-Krankheit
Patellar tendon rupture;Patellarsehnenruptur
Pathergy;Pathergy
Pathogenesis;Pathogenese
Pathological laughing and crying;Pathologisches lachen und Weinen
Patient-centered care;Patienten-zentrierte Pflege
Patient-controlled analgesia;Patientengesteuerte Analgesie
Patient UK;Patient UK
Patient abuse;Patienten-Missbrauch
Patient advocacy;Patientenberatung
Patient portal;Patienten-portal
Pearl Index;Pearl-Index
Pectus carinatum;Kielbrust
Pediatric endocrinology;Pädiatrische Endokrinologie
Pediatric intensive care unit;Pädiatrische Intensivstation
Pediatric schizophrenia;Pädiatrische Schizophrenie
Pediatric surgery;Kinderchirurgie
Pediatric trauma;Pediatric trauma
Pediatric urology;Kinderurologie
Pediculicide;Pediculicide
Pediculosis;Pedikulose
Pediculosis corporis;Pediculosis corporis
Peduncular hallucinosis;Peduncular hallucinosis
Pel-Ebstein fever;Pel-Ebstein-Fieber
Peliosis hepatis;Peliosis hepatis
Pelvic congestion syndrome;Pelvic congestion-Syndrom
Pelvic examination;Gynäkologische Untersuchung
Pelvic floor;Beckenboden
Pelvic floor dysfunction;Beckenbodenfunktionsstörungen
Pelvic myoneuropathy;Becken myoneuropathy
Pelvic pain;Beckenschmerzen
Pemphigus vulgaris;Pemphigus vulgaris
Penectomy;Penektomie
Penetrating head injury;Durchdringend Kopfverletzung
Penicilliosis;Penicilliosis
Penile prosthesis;Penisprothese
Penis transplantation;Penis-transplantation
Percussion (medicine);Perkussion (Medizin)
Percutaneous discectomy;Perkutane Diskektomie
Percutaneous umbilical cord blood sampling;Perkutane Nabelschnurblut-sampling
Perelman Center for Advanced Medicine;Perelman Center for Advanced Medizin
Perforated ulcer;Perforiertes Ulkus
Perforator flaps;Perforator klappen
Perfume intolerance;Parfüm-Intoleranz
Pericardial effusion;Perikarderguss
Pericardiocentesis;Perikardpunktion
Perinatal mortality;Perinatale Mortalität
Perinatal period;Perinatalperiode
Perineal hernia;Perinealen Hernie
Periodic fever syndrome;Periodische Fieber-Syndrom
Periodic paralysis;Periodische Lähmung
Periodontal abscess;Parodontalen Abszess
Perioperative;Perioperative
Perioperative mortality;Perioperative Mortalität
Perioral dermatitis;Periorale Dermatitis
Periorbital cellulitis;Periorbitale cellulitis
Peripheral T-cell lymphoma;Periphere T-Zell-Lymphom
Peripheral T-cell lymphoma not otherwise specified;Periphere T-Zell-Lymphom, nicht anders angegeben -
Peripheral nerve injury;Periphere Nervenverletzung
Peripheral tolerance;Periphere Toleranz
Peripheral vascular disease;Periphere Arterielle Verschlusskrankheit
Peripheral vascular examination;Periphere vaskuläre Untersuchung
Peripheral venous catheter;Peripherer Venenkatheter
Peripherally inserted central catheter;Peripher eingefügt zentralen Katheter
Peritoneal mesothelioma;Mesotheliom
Peritonitis;Peritonitis
Perlman syndrome;Perlman-Syndrom
Peroxisomal disorder;Peroxisomal Störung
Persecutory delusion;Verfolgenden Wahn
Perseveration;Perseveration
Persistent Müllerian duct syndrome;Müller-Gang-Persistenzsyndrom
Persistent edema of rosacea;Anhaltende ödem der Rosazea
Persistent genital arousal disorder;Persistent sexual arousal syndrome
Personality development disorder;Entwicklung der Persönlichkeit Störung
Personality disorder not otherwise specified;Persönlichkeitsstörung nicht anders angegeben -
Pertussis vaccine;Keuchhusten-Impfung
Pervasive developmental disorders;Pervasive developmental disorders
Petechia;Petechie
Phaeohyphomycosis;Phäohyphomykose
Phalen maneuver;Phalen-Zeichen
Phantom pain;Phantomschmerz
Pharyngeal flap surgery;Rachen-Klappe Chirurgie
Pharyngeal reflex;Würgreflex
Phlebitis;Phlebitis
Phlegm;Schleim
Phobia;Phobie
Phocomelia;Phokomelie
Phospho soda;Phospho soda
Photic sneeze reflex;Photischer Niesreflex
Photoaging;Photoaging
Photodermatitis;Photoallergische Dermatitis
Photodynamic therapy;Photodynamische Therapie
Photorefractive keratectomy;Photorefraktive Keratektomie
Photorejuvenation;Photorejuvenation
Phototoxicity;Phototoxie
Phyllodes tumor;Cystosarcoma phylloides
Physical fitness;Fitness
Physician supply;Arzt Versorgung
Physiologic nystagmus;Physiologischen nystagmus
Physiological anisocoria;Physiologische anisocoria
Phytophotodermatitis;Wiesengräserdermatitis
Pigeon toe;Sichelfuß
Pilonidal cyst;Sinus pilonidalis
Pimple;Pustel
Piquerism;Piquerism
Piriform cortex;Olfaktorischer Cortex
Pituitary disease;Hypophysen-Krankheit
Pityriasis alba;Pityriasis alba
Pityriasis amiantacea;Pityriasis amiantacea
Pityriasis lichenoides chronica;Pityriasis lichenoides et varioliformis acuta
Pityriasis rosea;Röschenflechte
Pivot joint;Radgelenk
Placental expulsion;Nachgeburt
Plasma cell;Plasmazelle
Plasmapheresis;Plasmapherese
Plasmodium knowlesi;Plasmodium knowlesi
Pleomorphic adenoma;Pleomorphes Adenom
Plethysmograph;Plethysmografie
Pleurodesis;Pleurodese
Plexopathy;Plexopathy
Pneumococcal conjugate vaccine;Pneumokokken-Konjugat-Impfstoff
Pneumoconiosis;Pneumokoniose
Pneumonectomy;Pneumektomie
Pneumoperitoneum;Pneumoperitoneum
Pneumotactic centre;Pneumotactic Zentrum
Pneumovax 23;Pneumovax 23
Poikiloderma vasculare atrophicans;Poikiloderma vasculare atrophicans
Point-of-care genetic testing;Point-of-care-Gentests
Poland syndrome;Poland-Syndrom
Poly drug use;Multipler Substanzgebrauch
Polyarteritis nodosa;Polyarteriitis nodosa
Polyarthritis;Polyarthritis
Polycythemia vera;Polycythaemia vera
Polyhydramnios;Polyhydramnion
Polymicrogyria;Polymikrogyrie
Polymorphous light eruption;Polymorphe Lichtdermatose
Polymyositis;Polymyositis
Polyp (medicine);Polyp (Geschwulst)
Polytrauma;Polytrauma
Polyuria;Polyurie
Ponseti method;Klumpfußbehandlung nach Ponseti
Poor posture;Schlechte Haltung
Porencephaly;Porenzephalie
Porokeratosis;Porokeratosis
Port (medical);Portkatheter
Portal hypertension;Portale Hypertension
Portal hypertensive gastropathy;Gastropathia hypertensiva
Portal vein thrombosis;Pfortaderthrombose
Portal venous pressure;Portal-venösen Druck
Position (obstetrics);Position (Geburtshilfe)
Positional alcohol nystagmus;Positions-Alkohol nystagmus
Positional plagiocephaly;Helmtherapie
Positive end-expiratory pressure;Positiver endexspiratorischer Druck
Post-anesthesia care unit;Aufwachraum
Post-exposure prophylaxis;Postexpositionsprophylaxe
Post-intensive care syndrome;Post-intensive Pflege-Syndrom
Post-lingual deafness;Post-lingual Taubheit
Post-thrombotic syndrome;Postthrombotisches Syndrom
Post-traumatic amnesia;Posttraumatische Amnesie
Post-viral fatigue syndrome;Post-viral fatigue-Syndrom
Post stroke depression;Post stroke depression
Postcholecystectomy syndrome;Postcholezystektomiesyndrom
Posterior circulation infarct;Der hinteren Zirkulation Infarkt
Posterior cortical atrophy;Hintere kortikale Atrophie
Posterior ischemic optic neuropathy;Hintere ischämische Optikusneuropathie
Posterior lobe;Hinterlappen
Posterior parietal cortex;Posterioren parietalen Kortex
Posterior rami syndrome;Hintere rami-Syndrom
Posterior triangle of the neck;Hintere Dreieck am Hals
Postmortem studies;Post-mortem-Studien
Postoperative cognitive dysfunction;Postoperative kognitive Dysfunktion
Postpartum hemorrhage;Postpartale Blutungen
Postpartum period;Wochenbett
Postpartum psychosis;Postpartale Stimmungskrisen#Postpartale Psychose (PPP)
Postprandial glucose test;Postprandiale Glukose-test
Potassium binder;Kalium binder
Pott's fracture;Pott-Fraktur
Pott's puffy tumor;Pott ' s puffy tumor
Pott disease;Pott Krankheit
Pouchitis;Pouchitis
Pragmatic language impairment;Pragmatische Sprachentwicklungsstörungen
Pre-existing condition;Bereits bestehenden Zustand
Pre-exposure prophylaxis;Präexpositionsprophylaxe
Pre-hospital ultrasound;Pre-Krankenhaus Ultraschall
Predictive medicine;Prädiktive Medizin
Pregnant patients' rights;Schwanger Rechte der Patienten
Prelingual deafness;Vorsprachlichen, Taubheit
Preload (cardiology);Vorlast
Premature atrial contraction;Supraventrikuläre Extrasystole
Premature ventricular contraction;Extrasystole
Premedication;Prämedikation
Premotor cortex;Premotor cortex
Prenatal and perinatal psychology;Geburtsschock
Prenatal care;Schwangerschaftsvorsorge
Presbycusis;Presbyakusis
Prescription costs;Rezept Kosten
Presumed ocular histoplasmosis syndrome;Vermutet Okular Histoplasmose-Syndrom
Prevalence of circumcision;Prävalenz der Beschneidung
Prevalence of mental disorders;Prävalenz von psychischen Störungen
Prevention (medical);Prävention (medizinische)
Preventive mastectomy;Vorbeugende Mastektomie
Priapism;Priapismus
Primary aldosteronism;Primärer Hyperaldosteronismus
Primary amoebic meningoencephalitis;Primäre Amöben Meningoenzephalitis
Primary care;Grundversorgung
Primary effusion lymphoma;Primary effusion-Lymphom
Primary hyperoxaluria;Primäre hyperoxaluria
Primary lateral sclerosis;Primäre lateral Sklerose
Primary motor cortex;Primär motorischen Kortex
Primary ovarian insufficiency;Primäre ovarielle Insuffizienz
Primary peritoneal carcinoma;Primäre peritoneal-Karzinom
Primary sensory areas;Primären sensorischen Arealen
Primary sensory cortex;Primären sensorischen Kortex
Primary somatosensory cortex;Primären somatosensorischen Kortex
Primary tumors of the heart;Primäre Tumoren des Herzens
Primary ventricular fibrillation;Primäre Kammerflimmern
Primary visual cortex;Der primäre visuelle cortex
Primitive neuroectodermal tumor;Primitiv neuroektodermaler Tumor
Prinzmetal's angina;Prinzmetal-Angina
Prion diseases;Prionen-Krankheiten
Prism correction;PRISMA-Korrektur
Proarrhythmia;Proarrhythmia
Procalcitonin;Procalcitonin
Proctitis;Proktitis
Proctoscopy;Proktoskopie
Prognosis;Prognose (Psychologie)
Progressive bulbar palsy;Progressive bulbäre Lähmung
Progressive disease;Progressive Krankheit
Progressive multifocal leukoencephalopathy;Progressive multifokale Leukenzephalopathie
Progressive muscular atrophy;Progressive Muskelatrophie
Progressive nonfluent aphasia;Progressive Aphasie nonfluent
Prolapse;Prolaps
Prolonged exposure therapy;Längerer Therapie
Pronator teres syndrome;Pronator-teres-Syndrom
Prophylaxis;Prophylaxe
Prostate biopsy;Prostata-Biopsie
Prostatectomy;Prostatektomie
Proteinuria;Proteinurie
Proteopathy;Proteinfehlfaltungserkrankung
Protothecosis;Protothekose
Proximal femoral focal deficiency;Femur-Fibula-Ulna-Syndrom
Proximal renal tubular acidosis;Proximale renale tubuläre Azidose
Pruritic urticarial papules and plaques of pregnancy;Pruritische urticarielle Papeln und Plaques der Schwangerschaft
Pruritus ani;Pruritus ani
Pseudarthrosis;Pseudarthrose
Pseudo-Cushing's syndrome;Pseudo-Cushing-Syndrom
Pseudoanaphylaxis;Pseudoanaphylaxis
Pseudoaneurysm;Pseudoaneurysm
Pseudoathetosis;Pseudoathetosis
Pseudodiarrhea;Pseudodiarrhea
Pseudomelanoma;Pseudomelanoma
Pseudomembranous colitis;Antibiotikaassoziierte Kolitis
Pseudomonas infection;Pseudomonas-Infektion
Pseudoporphyria;Pseudoporphyrie
Pseudorabies;Pseudowut
Pseudotumor cerebri;Pseudotumor cerebri
Pseudovaginal perineoscrotal hypospadias;Pseudovaginal perineoscrotal Hypospadie
Psoriatic nails;Psoriasis-Nägel
Psychasthenia;Psychasthenie
Psychiatric-mental health nurse practitioner;Psychiatrisch-mental health nurse practitioner
Psychiatric disorders of childbirth;Psychiatrische Störungen der Geburt
Psychiatric intensive-care unit;Psychiatrische Intensivstation
Psychiatrist;Psychiater
Psychoeducation;Psychoedukation
Psychogenic non-epileptic seizures;Psychogene nicht-epileptische Anfälle
Psychological effects of Internet use;Psychologische Auswirkungen des Internet
Psychomotor retardation;Psychomotorische Retardierung
Psychoneuroendocrinology;Psychoneuroendokrinologie
Psychosomatic medicine;Psychosomatik
Pterygium;Pterygium
Pterygium (conjunctiva);Pterygium
Ptosis (eyelid);Ptosis
Pubis (bone);Pubis (Knochen)
Public health insurance option;Krankenkassen-option
Puerperal fever;Kindbettfieber
Puestow procedure;Puestow Verfahren
Pulled hamstring;Muskelfaserriss
Pulmonary angiography;Lungen-Angiographie
Pulmonary aspiration;Aspiration (Medizin)
Pulmonary compliance;Pulmonale compliance
Pulmonary consolidation;Konsolidierung (Medizin)
Pulmonary fibrosis;Lungenfibrose
Pulmonary function testing;Lungenfunktion
Pulmonary hemorrhage;Lungenblutung
Pulmonary hypoplasia;Pulmonale Hypoplasie
Pulmonary scientist;Lungen-Wissenschaftler
Pulmonary sequestration;Pulmonaler Sequester
Pulmonary shunt;Pulmonalen shunt
Pulmonary valve stenosis;Pulmonalstenose
Pulmonic regurgitation;Pulmonalklappeninsuffizienz
Pulsatile insulin;Pulsatile insulin
Pulse;Puls
Pulse oximeter;Pulsoximeter
Pulsus paradoxus;Puls#Paradoxer Puls
Punctate epithelial erosions;Punktförmigen epithelialen Erosionen
Purpura;Purpura
Purpura fulminans;Purpura fulminans
Purtscher's retinopathy;Purtscher - Retinopathie
Pus;Eiter
Putamen;Putamen
Pyomyositis;Pyomyositis
Pyramidal tract;Pyramidal-Trakt
Pyromania;Pyromanie
Quackery;Quacksalber
Quadriceps tendon rupture;Quadrizeps-Sehnenruptur
Quality of life;Lebensqualität
Quantitative trait locus;Quantitative Trait Locus
Quarantine;Quarantäne
Quaternary prevention;Quartäre Prävention
RTS,S;RTS,S
Radial artery puncture;Radialis Punktion
Radial neuropathy;Radial-Neuropathie
Radical retropubic prostatectomy;Radikale Prostatektomie retropubic
Radicular pain;Radikuläre Schmerzen
Radiculopathy;Radikulopathie
Radio frequency nerve lesioning;Die Radio-Frequenz-Nerv schädigendes
Radioallergosorbent test;Radio-Allergo-Sorbens-Test
Radiofrequency ablation;Hochfrequenzablation
Radioimmunoassay;Radioimmunassay
Range of motion;Neutral-Null-Methode
Rape kit;Vergewaltigung kit
Rapid urease test;Schnelle urease-test
Re-entry ventricular arrhythmia;Re-entry ventrikuläre Herzrhythmusstörungen
Read code;Lesen-code
Rebound diuresis;Rebound Diurese
Rebound effect;Rebound (Medizin)
Reconstructive surgery;Rekonstruktive Chirurgie
Recovered-memory therapy;Erholt-memory-Therapie
Recovery from blindness;Erholung von Blindheit
Rectal examination;Rektaluntersuchung
Rectal foreign body;Fremdkörper in Anus und Rektum
Rectocele;Rektozele
Rectovaginal fistula;Rektovaginale Fistel
Recurrent corneal erosion;Rezidivierende Hornhauterosionen
Red blood cell indices;Rote Blutkörperchen Indizes
Reed–Sternberg cell;Sternberg-Riesenzelle
Refeeding syndrome;Refeeding-Syndrom
Reference dose;Referenz-Dosis
Reference range;Referenzwert (Medizin)
Reference values;Referenz-Werte
Reflex asystolic syncope;Reflex asystolic Synkope
Reflex sympathetic dystrophy syndrome;Sympathischen reflexdystrophie
Reflux nephropathy;Reflux-Nephropathie
Refsum's disease;Refsum-Krankheit
Refsum disease;Refsum-Syndrom
Regional anaesthesia;Regionalanästhesie
Registered Pulmonary Function Technologist;Registriert Lungenfunktion Technologe
Rehabilitation in spinal cord injury;Rehabilitation bei Verletzungen des Rückenmarks
Relapsing fever;Rückfallfieber
Relapsing polychondritis;Polychondritis
Relationship obsessive–compulsive disorder;Beziehung obsessive-compulsive disorder
Renal colic;Nierenkolik
Renal cortical necrosis;Nieren-kortikalen Nekrose
Renal cyst;Nierenzyste
Renal papillary necrosis;Nieren-papillären Nekrose
Renal vein thrombosis;Nierenvenenthrombose
Repetitive strain injury;Repetitive Strain Injury Syndrom
Repetitive stress injury;Repetitive stress injury
Replantation;Replantation
Reproductive endocrinology and infertility;Reproduktionsmedizin
Reproductive system disease;Reproduktive system Krankheit
Residential care;Stationäre Pflege
Respect for persons;Achtung Personen
Respiratory acidosis;Respiratorische Azidose
Respiratory alkalosis;Respiratorische Alkalose
Respiratory disease;Erkrankungen der Atemwege
Respiratory distress;Atemnot
Respiratory examination;Untersuchung der Atemwege
Respiratory failure;Respiratorische Insuffizienz
Respiratory minute volume;Atemminutenvolumen
Restenosis;Restenose
Restrictive cardiomyopathy;Restriktive Kardiomyopathie
Restrictive lung disease;Restriktive Lungenerkrankung
Resusci Anne;Resusci-Anne
Retching;Würgend
Retinal haemorrhage;Retinale Blutungen
Retinoscopy;Retinoscopy
Retired husband syndrome;Retired Husband Syndrome
Retrobulbar block;Retrobulbar block
Retrograde amnesia;Retrograde Amnesie
Retrospective diagnosis;Retrospektive Diagnose
Retrosplenial cortex;Retrosplenial cortex
Retroverted uterus;Retroverted Gebärmutter
Return of results;Rückkehr der Ergebnisse
Reverse epidemiology;Adipositas-Paradoxon
Revesz syndrome;Revesz-Syndrom
Review of systems;Überprüfung der Systeme
Revision weight loss surgery;Revision Gewicht-Verlust-Chirurgie
Reward system;Belohnungssystem
Rheum;Schlafsand
Rheumatism;Rheuma
Rheumatoid factor;Rheumafaktor
Rheumatoid nodule;Rheumaknoten
Rheumatoid pleuritis;Rheumatoide pleuritis
Rhinosporidiosis;Rhinosporidiosis
Rib removal;Rippe entfernen
Riedel's thyroiditis;Riedel-Struma
Rift Valley fever;Rifttalfieber
Right to die;Recht zu sterben
Right ventricle;Herz#Räume und Gefäße
Risk factor;Risikofaktor (Medizin)
Risk factors in pregnancy;Risikogeburt
Risus sardonicus;Risus sardonicus
Ritalin class action lawsuits;Ritalin Sammelklagen
Robert Guthrie;Robert Guthrie
Robert Maitland O'Reilly;Robert Maitland O ' Reilly
Robertsonian translocation;Translokation (Genetik)#Robertson-Translokation (Zentrische Fusion)
Robotic surgery;Roboter-Chirurgie
Root canal;Wurzelkanalbehandlung
Ross procedure;Operation nach Ross
Rourke Baby Record;Rourke Baby-Rekord
Roy J. and Lucille A. Carver College of Medicine;Roy J. und Lucille A. Carver College of Medicine
Royal College of Physicians of Edinburgh;Royal College of Physicians of Edinburgh
Royal College of Psychiatrists;Royal College of Psychiatrists
Royal College of Surgeons of Edinburgh;Royal College of Surgeons of Edinburgh
Rubrospinal tract;Rubrospinal-Trakt
Rupture of membranes;Blasensprung
Ruptured spleen;Milzruptur
SFTS virus;SFTS virus
ST2 cardiac biomarker;ST2 kardiale biomarker
STD testing;STD testen
ST segment;ST-segment
Sacrococcygeal teratoma;Steißbeinteratom
Saddle sore;Saddle sore
Sadistic personality disorder;Sadistische Persönlichkeitsstörung
Safety syringe;Sicherheits-Spritze
Sagittal plane;Sagittalebene
Saint Louis encephalitis;St.-Louis-Enzephalitis
Salicylate sensitivity;Salizylat-Empfindlichkeit
Salivary gland neoplasm;Speicheldrüse Tumor
Salivary gland–like carcinoma of the lung;Speicheldrüsen-wie Karzinom der Lunge
Salmonellosis;Salmonellose
Salpingectomy;Salpingectomy
Salvage therapy;Salvage-Therapie
Sangassou virus;Sangassou virus
Sarah Murnaghan lung transplant controversy;Sarah Murnaghan-Lungen-Transplantation Kontroverse
Sarcoma botryoides;Sarcoma botryoides
Scalding;Verbrühungen
Scalp–ear–nipple syndrome;Kopfhaut-ear-Nippel-Syndrom
Schistosoma haematobium;Schistosoma haematobium
Schizophreniform disorder;Schizophreniform Störung
Schola Medica Salernitana;Schule von Salerno
School health education;Schule-Gesundheit-Bildung
School health services;Schule, Gesundheit, Dienstleistungen
Scleral buckle;Sklera Schnalle
Scleral lens;Scleral-Objektiv
Scombroid food poisoning;Scombroid Lebensmittelvergiftung
Scotoma;Skotom
Scrapie;Scrapie
Scrupulosity;Scrupulosity
Sea-blue histiocytosis;Meer-blau-histiozytose
Seabather's eruption;Seabather die eruption
Seasickness;Seekrankheit
Secondary hyperparathyroidism;Sekundären Hyperparathyreoidismus
Secondary hypertension;Sekundäre Hypertonie
Secondary sclerosing cholangitis;Sekundär sklerosierende cholangitis
Sedation;Sedierung
Sedentary lifestyle;Bewegungsmangel
Segond fracture;Zweiter kolbenringstoss Fraktur
Seizure threshold;Krampfschwelle
Selective immunoglobulin A deficiency;Selektiver Immunglobulin-A-Mangel
Selenium deficiency;Selenmangel
Self-diagnosis;Selbst-Diagnose
Self-inflicted wound;Selbstverstümmelung
Self care;Self-care
Semantic dementia;Semantische Demenz
Semen collection;Samengewinnung
Semen cryopreservation;Sperma-Kryokonservierung
Senile;Senilen
Senning procedure;Senning Verfahren
Senses;Sinne
Sensory maps;Sensorische Karten
Sensory neuron;Sensorischen Neuronen
Sensory processing;Sensorische Integration
Sensory system;Sensorische system
Sentinel lymph node;Wächterlymphknoten
Septal myectomy;Septal myectomy
Septic embolism;Septische Embolie
Septic shock;Septischer Schock
Septicemic plague;Pest#Pestsepsis
Septo-optic dysplasia;Septo-optische Dysplasie
Septoplasty;Septumplastik
Sequential compression device;Sequentielle Pressvorrichtung
Seroma;Serom
Serotonin system;Serotonin-system
Serotype;Serotyp
Serous fluid;Seröser Flüssigkeit
Serous tumour;Seröse Tumor
Sertoli-Leydig cell tumour;Sertoli-Leydig-Zell-Tumor
Serum-ascites albumin gradient;Serum-Aszites-albumin-Verlauf
Serum iron;Serum-Eisen
Serum sickness;Serumkrankheit
Serum sickness-like reaction;Serum-Krankheit-wie Reaktion
Sex cord-gonadal stromal tumour;Sex Schnur-Gonaden-Tumor-Stroma -
Sex differences in medicine;Geschlechtsspezifische Unterschiede in der Medizin
Sex linkage;Sex-Gestänge
Sex reassignment surgery;Geschlechtsangleichende Operation
Sex reassignment surgery (female-to-male);GA-Chirurgie (Frau-zu-Mann)
Sex steroid;Sexualhormone
Sexology;Sexualwissenschaft
Sexual health clinic;Sexuelle Gesundheit-Klinik
Sexual infantilism;Sexuelle Infantilismus
Sexual maturation disorder;Sexuelle Reifung Störung
Sexual medicine;Sexualmedizin
Sexual orientation and medicine;Sexuelle Orientierung und Medizin
Sgarbossa's criteria;Sgarbossa ' s Kriterien
Shallow breathing;Flache Atmung
Sheehan's syndrome;Sheehan-Syndrom
Shift work sleep disorder;Schichtarbeit Schlafstörungen
Shoe insert;Schuh einfügen
Short QT syndrome;Short-QT-Syndrom
Shoulder arthritis;Schulter arthritis
Shoulder replacement;Schulter-Ersatz
Shoulder surgery;Schulter-Chirurgie
Shunt (medical);Shunt (Medizin)
Sialography;Sialographie
Sick building syndrome;Sick-Building-Syndrom
Sick sinus syndrome;Sick-Sinus-Syndrom
Sickle cell nephropathy;Sichelzelle Nephropathie
Sickle cell trait;Sichelzelle Merkmal
Sickness behavior;Krankheit Verhalten
Sideroblastic anemia;Sideroblastische Anämie
Sigmoidoscopy;Sigmoidoskopie
Silver–Russell syndrome;Silver-Russell-Syndrom
Simian foamy virus;Simian foamyvirus
Simple partial seizure;Einfache partielle Anfälle
Simulation for Therapy;Simulation für Therapie
Sinoatrial block;SA-Block
Sinus bradycardia;Sinus-Bradykardie
Sinus pericranii;Sinus pericranii
Sjögren–Larsson syndrome;Sjögren-Larsson-Syndrom
Skeletal fluorosis;Skelett-Fluorose
Skin allergy test;Allergietest
Skin conductance;Elektrodermale Aktivität
Skull fracture;Schädel Fraktur
Sleep and breathing;Schlaf und Atmung
Sleep and metabolism;Schlafen und Stoffwechsel
Sleep hygiene;Schlafhygiene
Sleep onset;Schlafbeginn
Sleep sex;Sexsomnia
Sleep study;Schlaf-Studie
Sleeve gastrectomy;Schlauchmagen
Slow-wave sleep;Slow-wave-sleep
Slow virus;Slow-virus -
Small-blue-round-cell tumor;Klein-blau-Runde-Zell-tumor
Small for gestational age;Small for Gestational Age
Small intestine cancer;Dünndarm Krebs
Smoke inhalation;Rauchgasvergiftung
Sneddon's syndrome;Sneddon-Syndrom
Sniffle;Sniffle
Social Insurance Fund of the Russian Federation;Sozialversicherungsanstalt der Russischen Föderation
Social determinants of health;Soziale Determinanten der Gesundheit
Social determinants of obesity;Soziale Determinanten von übergewicht
Social insurance;Sozialversicherung
Social psychiatry;Sozialpsychiatrie
Socialized medicine;Sozialisierte Medizin
Sociogenic illness;Sociogenic Krankheit
Soft-tissue laser surgery;Soft-tissue-laser-Chirurgie
Soft tissue injury;Weichteilschaden
Soiling;Verschmutzung
Solar retinopathy;Solar-Retinopathie
Solitary pulmonary nodule;Solitären pulmonalen Knötchen
Somatic nervous system;Somatisches Nervensystem
Somatization disorder;Somatoforme Störung
Somnolence;Somnolenz
Somnology;Schlafforschung
Somnoplasty;Somnoplasty
Song control system;Song control system
Soochong virus;Soochong virus
Sore throat;Halsschmerzen
Sotos syndrome;Sotos-Syndrom
Source amnesia;Quelle Amnesie
Southeast Asian ovalocytosis;Südost-asiatischen ovalocytosis
Soy allergy;Soja Allergie
Spasm;Krampf
Spastic diplegia;Spastische Diplegie
Spasticity;Spastik
Speech delay;Alalie
Speech disorder;Sprechstörung
Sperm bank;Samenbank
Sperm donation;Samenspende
Sperm sorting;Spermien Sortierung
Spermarche;Spermarche
Spermatocele;Spermatozele
Sphenoid wing meningioma;Keilbein Flügel meningioma
Sphygmomanometer;Blutdruckmessgerät
Spinal cord compression;Rückenmark Kompression
Spinal cord stimulator;Rückenmarkstimulation
Spinal cord tumors;Rückenmarks-Tumoren
Spinal curvature;Krümmung der Wirbelsäule
Spinal decompression;Spinale Dekompression
Spinal muscular atrophies;Spinale Muskelatrophie
Spinal nerve;Spinalnerv
Spinal shock;Spinalen Schock
Spinal tumor;Wirbelsäulen-tumor
Splenectomy;Splenektomie
Splenic disease;Milz-Krankheit
